RA,DEC,Vmag
52.355366,10.900387,10.74
52.356926,-19.55437,7.28
52.359512,46.93787,6.21
52.360317,-42.46904,7.69
52.3648,-39.132233,9.57
52.36743,9.690803,10.53
52.377636,-54.78207,9.0
52.38323,-38.416637,9.3
52.38397,43.230713,8.92
52.386997,-16.998844,8.64
52.390263,3.3649828,10.42
52.39604,-23.475721,6.88
52.399662,0.26387554,11.23
52.400112,-12.674737,5.57
52.400578,-28.566792,8.94
52.411167,-21.420822,8.45
52.41327,84.046646,9.06
52.413074,-6.8044577,6.01
52.427364,16.762335,7.05
52.43882,5.800381,8.52
52.440228,-14.428399,8.94
52.446415,18.738375,9.01
52.447742,-47.392723,8.79
52.454376,13.415007,10.65
52.454422,-22.505476,6.79
52.458282,47.976818,7.67
52.46351,84.0387,8.35
52.46613,49.213436,7.28
52.46661,-32.638287,8.73
52.470417,-38.55962,8.64
52.476078,65.060616,9.78
52.477966,-23.745916,8.52
52.4781,58.87875,4.55
52.47955,61.66942,9.43
52.47965,-55.90021,8.97
52.479782,-42.634254,5.76
52.484924,-19.620289,9.7
52.48747,1.2398204,10.19
52.48894,-6.987984,9.03
52.491432,-35.748627,7.22
52.495388,-78.35185,5.68
52.495987,-11.146576,8.34
52.500767,55.45181,5.09
52.501347,-6.2840843,9.7
52.515503,51.512142,10.56
52.52231,24.190407,8.2
52.524796,11.3875265,9.0
52.52566,75.25913,7.95
52.530113,63.125294,9.33
52.531162,-4.8548994,8.87
52.532204,-26.325586,8.74
52.53309,-74.59415,7.52
52.54509,36.638294,7.78
52.545616,59.365948,6.14
52.548195,14.252724,9.27
52.552834,24.486856,9.51
52.55419,68.43349,7.99
52.554466,55.375046,7.05
52.55529,-11.646315,6.77
52.55591,37.989517,10.88
52.55658,-41.369938,6.12
52.557835,1.0744189,9.39
52.559097,-23.745111,8.89
52.561474,-2.9794273,9.44
52.563866,12.9017935,8.24
52.56479,-40.36757,11.86
52.5738,52.894814,7.28
52.57781,41.5237,9.03
52.580544,48.499317,8.8
52.58082,71.8639,6.37
52.590473,-54.808205,7.88
52.593124,-36.053757,11.18
52.601955,11.336442,5.14
52.605984,42.979713,7.65
52.608204,-22.048452,10.4
52.609882,10.458766,7.0
52.612434,47.06328,7.03
52.618107,54.29379,8.88
52.626186,39.658115,9.47
52.626785,20.103262,8.29
52.62896,-68.1983,8.83
52.62923,-15.853131,9.6
52.634064,71.19208,10.55
52.635662,-58.57369,8.14
52.64317,2.079643,8.97
52.64368,47.995216,4.36
52.646996,44.833042,8.46
52.6479,-30.33494,8.25
52.65253,11.867425,9.64
52.653976,-47.375126,5.98
52.65396,48.103596,5.82
52.654408,-5.0751452,4.74
52.65545,8.574757,9.72
52.658623,40.318893,9.54
52.65949,-33.5302,8.94
52.660015,-42.522102,9.52
52.660835,3.9165075,9.92
52.66389,-4.273283,7.56
52.666897,-19.435585,7.45
52.66783,-27.922018,7.81
52.66913,-9.730246,6.86
52.669697,53.666615,9.51
52.674213,29.238838,9.09
52.6747,-40.118896,8.49
52.678185,-22.321629,9.94
52.683613,-64.98673,8.43
52.68641,5.513077,7.69
52.6879,42.20244,6.92
52.68925,6.188703,5.93
52.689327,14.296161,8.67
52.691135,-1.7806025,9.34
52.691692,51.029922,9.0
52.695892,5.3670278,7.03
52.69859,5.152625,7.34
52.704582,-18.46614,7.39
52.709766,-37.37229,7.71
52.710625,-32.505432,8.93
52.71464,43.984844,9.08
52.715446,-66.489716,5.81
52.718243,12.936678,4.14
52.71884,-62.007946,6.79
52.722305,-8.820762,9.74
52.72266,8.368522,8.49
52.729633,-29.431581,11.38
52.733753,18.799417,8.12
52.743683,-44.62386,9.31
52.747105,29.613737,9.04
52.74897,-0.12616776,10.19
52.753277,27.724293,7.87
52.754997,-5.6301737,8.03
52.756023,7.198308,7.61
52.75733,33.892998,8.16
52.7573,27.11343,7.94
52.759613,-26.621119,8.19
52.7601,-17.167765,8.59
52.76109,-40.516083,8.75
52.764435,27.731548,7.44
52.765617,-48.137115,8.93
52.766605,-0.48120317,6.64
52.76701,39.644688,8.62
52.770275,-2.2474406,8.73
52.770817,-46.61458,8.83
52.772247,-72.373474,8.1
52.776173,15.736097,10.32
52.777374,50.48149,7.37
52.782303,-70.47329,8.63
52.783546,-64.6518,8.34
52.784645,-66.29124,8.01
52.788074,39.147736,7.31
52.78927,13.575851,8.77
52.795574,-13.498847,7.71
52.806046,19.783518,8.0
52.808857,-10.931522,8.01
52.81117,49.706238,8.61
52.814262,20.768072,8.08
52.8225,66.730286,9.91
52.81533,41.726456,7.32
52.816463,25.255465,8.12
52.818195,32.33039,11.08
52.82092,-55.249207,7.12
52.8329,27.571806,6.99
52.836475,27.571823,6.61
52.836655,-30.516314,9.9
52.836636,58.49396,8.6
52.83801,17.938177,6.79
52.846497,-43.833576,8.47
52.851902,17.811329,8.19
52.851933,-59.85698,7.41
52.852226,-33.54558,7.23
52.853474,-51.541355,9.38
52.853924,72.16991,8.38
52.85584,2.6622937,8.89
52.856415,-16.77898,7.61
52.868095,21.821909,8.88
52.87225,49.20977,6.29
52.87576,49.902077,8.78
52.876232,40.759933,6.5
52.878094,34.679527,9.08
52.87983,22.505806,9.49
52.882004,25.721575,9.09
52.88806,47.862415,6.77
52.890102,26.26547,10.75
52.891193,72.017685,8.15
52.895695,-31.673529,7.62
52.898754,-50.104637,8.43
52.902973,-12.734773,7.86
52.91691,-3.4976792,7.17
52.92231,78.014465,7.32
52.9241,37.331406,8.74
52.924725,-58.388382,8.99
52.926804,23.649546,8.07
52.93248,18.800125,8.16
52.938435,-35.702972,9.16
52.946487,-58.099678,8.35
52.946163,36.48393,7.82
52.946407,14.321592,12.26
52.953827,-19.316051,8.45
52.954323,49.401093,6.41
52.972424,56.440372,7.98
52.973526,-25.61415,6.38
52.974777,48.735146,6.62
52.97657,-20.368069,8.91
52.982525,48.5838,8.22
52.987988,67.42519,7.58
52.991623,-49.886932,8.45
52.99465,49.87016,9.21
53.001984,-3.7074509,10.54
53.002968,-65.64542,8.23
53.006073,67.58562,7.65
53.00617,67.59187,9.36
53.0077,-52.473858,7.78
53.007874,37.514767,9.21
53.01015,-8.81102,9.29
53.010986,-7.8399835,7.54
53.016857,7.566324,7.66
53.019417,-29.016111,8.82
53.019855,-21.247568,9.36
53.02124,43.669872,8.56
53.023304,-49.158863,7.88
53.025925,16.728003,8.6
53.035835,48.023476,5.47
53.03588,62.26799,7.16
53.036747,0.28840554,8.31
53.039276,42.74932,7.27
53.04055,30.00608,7.88
53.04128,-50.81959,8.52
53.046787,37.38206,9.3
53.0482,-8.12968,10.54
53.04976,11.542426,6.79
53.05017,3.8768587,8.3
53.054302,-32.308006,7.95
53.054943,-31.57055,8.23
53.059658,-42.918224,9.56
53.059986,36.1357,10.05
53.063515,-65.414345,7.92
53.06408,-7.0901184,7.31
53.06844,44.840687,7.24
53.069237,-7.0900626,9.74
53.07334,40.92073,6.73
53.08054,4.650128,9.61
53.083855,84.91104,5.62
53.09016,63.818687,9.68
53.09387,-33.501144,8.83
53.09382,-34.96732,8.72
53.09944,-8.603724,8.05
53.10335,76.617424,8.33
53.104694,-3.3133578,8.29
53.1068,12.363485,8.33
53.10795,-4.3610888,8.18
53.109417,46.05686,5.3
53.10994,-24.616419,7.03
53.10997,-11.965184,8.52
53.11081,52.065895,8.47
53.111134,-25.658499,8.09
53.113125,10.738183,8.51
53.11319,20.175484,8.42
53.132885,51.48959,10.23
53.133705,31.64796,7.75
53.137917,26.746412,10.08
53.14501,-50.378647,5.67
53.147675,-23.628796,9.96
53.149788,9.373438,5.76
53.152992,17.26897,9.8
53.15727,28.365839,8.57
53.15876,55.18527,8.87
53.161358,3.1499457,7.82
53.162407,44.85576,6.42
53.166325,35.659294,7.29
53.166737,35.46173,5.91
53.174244,-1.6676984,8.98
53.17723,-4.4203176,8.69
53.178265,-51.789017,9.47
53.180004,-61.394054,7.3
53.182407,-60.574284,7.56
